CODGEO,Taux_chomage,taux_sans_diplome,taux_maison_princ,taux_loc_princ,taux_inactifs,salaire_ouvrier,salaire_employe,TP6020
49023,8.66,24.81,92.28,19.37,11.84,11.6580603967218,11.1582461169739,8.0
49035,8.5,12.18,89.75,21.96,15.1,11.0584305539607,11.9646886835853,5.0
49050,8.15,16.89,92.68,18.65,13.17,11.7008683684959,11.5192057899996,7.0
49054,15.45,34.7,86.99,31.11,13.04,11.6413243493852,11.0177164681501,17.0
49060,12.21,27.72,96.24,25.32,15.18,11.5421999312562,11.1347109348024,10.0
49063,9.35,21.64,76.69,27.03,12.86,11.725356853192,11.582096897391,8.0
49069,7.58,20.95,96.1,19.06,11.65,12.1174996842197,11.2528380033144,7.0
49080,10.65,27.07,89.72,28.47,13.68,11.4042787955046,11.0205028780896,11.0
49086,8.6,20.44,93.55,17.2,11.09,11.7322445040855,11.3013639208983,7.0
49092,7.8,25.33,91.27,22.5,12.36,11.6491031316488,11.1648847165187,9.0
49099,14.85,23.92,61.17,38.15,14.61,11.2787651652848,11.2895184107705,13.0
49125,11.84,28.53,87.62,27.88,12.63,11.1928466898109,10.9245296915207,12.0
49127,10.52,25.98,89.39,32.31,12.5,11.8767513257569,11.4847776434163,12.0
49129,9.91,17.98,81.77,28.4,13.32,11.8630859250293,11.5352953649392,6.0
49138,6.47,18.93,97.13,15.59,11.78,11.7944792302001,10.9351378651237,10.0
49160,11.11,21.49,91.59,25.33,11.86,11.9203728467927,11.0846919839717,12.0
49163,9.12,20.85,94.4,23.66,11.53,11.6944510110027,11.3299452324363,8.0
49176,8.73,19.61,81.3,31.87,11.55,11.6538622140113,11.4411646803923,8.0
49180,15.06,35.05,89.01,35.07,13.98,11.2980301709074,10.7912882759283,14.0
49183,6.63,18.76,92.16,22.42,11.49,11.6484435755983,11.3529520633115,10.0
49192,7.54,23.05,95.32,19.61,11.18,11.5789542396663,11.7603923047693,7.0
49193,7.23,24.83,90.26,20.49,11.57,11.6504343959973,11.074503240962,8.0
49194,8.85,20.54,96.06,14.01,13.09,11.9645805122197,11.4016732739875,5.0
49200,8.03,13.3,91.79,23.49,12.92,11.7350808151203,11.6772888114073,6.0
49201,11.01,19.77,88.76,29.4,12.11,11.8247494682779,11.2484131571892,11.0
49214,10.52,18.32,73.55,33.01,15.39,11.1118055470361,11.5228079952086,9.0
49215,16.49,29.46,81.06,35.05,13.8,10.9855551186121,10.6224368116346,14.0
49218,7.7,28.26,96.47,15.38,11.29,11.7772423643414,11.1315259397002,8.0
49220,9.37,29.29,94.26,24.11,12.17,11.7240375888113,11.3771379781022,9.0
49223,10.87,16.23,76.24,30.91,14.83,11.1248829893744,11.2790547917303,7.0
49228,16.15,35.58,95.02,26.6,15.16,11.2853047575993,11.0400419826483,19.0
49244,8.5,27.47,92.65,20.2,12.62,11.8747254780657,10.9911937690785,8.0
49246,13.59,20.2,61.07,38.31,15.58,11.1552207112231,11.4823136633939,10.0
49248,14.7,29.82,89.6,26.58,13.04,11.740829812628,10.7020189342337,14.0
49261,10.92,21.4,93.03,22.67,11.77,11.5536041846484,10.9372665995597,12.0
49267,12.51,19.45,61.92,41.18,14.88,11.40497907371,11.4728873918848,10.0
49278,10.23,15.0,79.24,24.37,16.06,11.6131682484446,11.4840231614208,6.0
49292,7.14,15.59,97.11,14.63,10.44,12.0777864126138,11.4390039087438,7.0
49294,8.1,11.25,93.21,22.32,15.84,11.7759501135352,11.6055428601343,7.0
49301,7.62,23.48,94.79,18.42,11.89,11.8213312527502,11.2081588584168,7.0
49307,8.19,18.19,91.79,16.59,13.72,12.0228182609891,11.5556983025066,5.0
49323,10.12,17.44,78.68,29.33,14.69,11.4333284596048,11.9426823863057,8.0
49328,19.27,25.31,52.41,46.2,17.0,10.916981764411,10.8069948639689,18.0
49331,10.91,25.71,84.89,30.18,13.87,11.7862339367494,11.0917480733684,11.0
49332,5.79,17.89,98.07,16.61,11.15,11.9584526782391,11.8272532340212,5.0
49333,9.67,23.22,84.79,31.44,13.03,11.6364412121933,11.3541596220006,9.0
49345,7.93,20.19,95.33,20.44,12.51,11.8279314380949,11.1356497830381,7.0
49347,7.37,19.73,87.73,22.29,13.9,11.6938534371112,11.3422732285521,7.0
49353,15.32,20.74,60.74,44.97,15.12,11.1843960152289,11.0912610135224,15.0
49367,7.96,17.56,94.72,20.68,12.02,11.7248848548958,11.2324373079095,7.0
49373,7.74,27.51,93.09,20.98,11.59,11.6707072677627,10.9085848348659,11.0
49377,7.8,14.57,95.88,16.82,14.02,11.7803342805944,11.7504183454679,6.0
49378,9.44,28.79,95.04,23.49,12.14,11.4070882031688,10.5201301024965,10.0
50002,8.61,19.42,78.44,31.74,13.84,10.7275911644245,11.5352530316052,8.0
50003,11.82,23.16,89.9,25.17,12.97,11.0772663044876,11.2642601074907,10.0
50025,13.98,24.77,52.96,47.35,15.25,11.2203740333164,11.1142447160495,14.0
50031,12.23,24.2,85.23,33.72,14.07,12.4283472837532,11.308462788384,12.0
50041,7.97,15.59,94.45,23.77,16.04,13.309490372539,11.9410716888915,7.0
50074,8.2,35.15,89.38,38.96,13.04,12.5766134668756,11.1215285332809,14.0
50076,12.7,22.27,87.72,31.05,14.37,12.5730867184129,11.6214828360894,8.0
50082,11.03,30.47,93.72,31.67,16.44,12.5815714193828,10.8403506501811,10.0
50099,13.44,31.75,74.61,39.66,15.83,11.803011008698,11.0447131326451,14.0
50129,14.05,18.43,53.23,49.42,17.17,12.2096373133342,10.9696878279364,13.0
50139,7.11,26.9,90.22,20.23,13.38,12.330335715615,11.2045468373116,7.0
50147,15.54,24.19,51.31,47.88,18.24,10.2760463924444,10.5211420387833,18.0
50151,8.68,35.85,96.65,27.54,14.34,11.6291927541869,10.6572717601953,12.0
50165,11.87,20.34,77.17,37.34,15.01,12.2597839789568,11.0332565244106,11.0
50168,6.9,27.15,86.2,32.26,12.79,12.9620505525876,10.9350730833345,9.0
50215,10.34,23.1,94.84,21.08,15.11,11.5692849850452,11.1893684797894,8.0
50218,17.08,27.04,42.17,49.04,16.77,11.947706324564,10.7423520429059,13.0
50236,10.83,31.45,89.86,28.63,14.63,12.2080824776812,10.9483901767879,14.0
